item_type,article_type,weight,lint_trap_used,avg_microplastic_loss,multiplier,microfibre_loss (y)
polyester,tshirt,190,yes,161,0.13,3.9767
polyester,shirt,162.5,yes,161,0.13,3.401125
polyester,pants,500,yes,161,0.13,10.465
polyester,jeans,725,yes,161,0.13,15.17425
polyester,shorts,250,yes,161,0.13,5.2325
polyester,hoodie,392.5,yes,161,0.13,8.215025
polyester,jacket,707.5,yes,161,0.13,14.807975
nylon,tshirt,190,yes,24,0.13,0.5928
nylon,shirt,162.5,yes,24,0.13,0.507
nylon,pants,500,yes,24,0.13,1.56
nylon,jeans,725,yes,24,0.13,2.262
nylon,shorts,250,yes,24,0.13,0.78
nylon,hoodie,392.5,yes,24,0.13,1.2246
nylon,jacket,707.5,yes,24,0.13,2.2074
natural,tshirt,190,yes,165,0.13,4.0755
natural,shirt,162.5,yes,165,0.13,3.485625
natural,pants,500,yes,165,0.13,10.725
natural,jeans,725,yes,165,0.13,15.55125
natural,shorts,250,yes,165,0.13,5.3625
natural,hoodie,392.5,yes,165,0.13,8.419125
natural,jacket,707.5,yes,165,0.13,15.175875
polyester,tshirt,190,no,161,1,30.59
polyester,shirt,162.5,no,161,1,26.1625
polyester,pants,500,no,161,1,80.5
polyester,jeans,725,no,161,1,116.725
polyester,shorts,250,no,161,1,40.25
polyester,hoodie,392.5,no,161,1,63.1925
polyester,jacket,707.5,no,161,1,113.9075
nylon,tshirt,190,no,24,1,4.56
nylon,shirt,162.5,no,24,1,3.9
nylon,pants,500,no,24,1,12
nylon,jeans,725,no,24,1,17.4
nylon,shorts,250,no,24,1,6
nylon,hoodie,392.5,no,24,1,9.42
nylon,jacket,707.5,no,24,1,16.98
natural,tshirt,190,no,165,1,31.35
natural,shirt,162.5,no,165,1,26.8125
natural,pants,500,no,165,1,82.5
natural,jeans,725,no,165,1,119.625
natural,shorts,250,no,165,1,41.25
natural,hoodie,392.5,no,165,1,64.7625
natural,jacket,707.5,no,165,1,116.7375